n,Grand Prix,Team,N°,Driver,Model,Engine,Tyre,Grid,Race
167,Australia,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR10,Renault,Pirelli,11,ab,Engine
,,,,,,,,,,
168,Malaysia,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR10,Renault,Pirelli,6,7,
169,China,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR10,Renault,Pirelli,13,17,Engine
170,Bahrain,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR10,Renault,Pirelli,15,ab,Electrics
171,Spain,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR10,Renault,Pirelli,6,11,
172,Monaco,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR10,Renault,Pirelli,9,ab,Collision
173,Canada,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR10,Renault,Pirelli,19,15,
174,Austria,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR10,Renault,Pirelli,7,8,
175,Britain,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR10,Renault,Pirelli,13,ab,Accident
176,Hungary,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR10,Renault,Pirelli,9,4,
177,Belgium,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR10,Renault,Pirelli,18,8,
178,Italy,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR10,Renault,Pirelli,20,12,
179,Singapore,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR10,Renault,Pirelli,8,8,
180,Japan,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR10,Renault,Pirelli,17,9,
181,Russia,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR10,Renault,Pirelli,9,10,
182,USA,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR10,Renault,Pirelli,8,4,
183,Mexico,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR10,Renault,Pirelli,8,9,
184,Brazil,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR10,Renault,Pirelli,9,9,
185,Abu Dhabi,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR10,Renault,Pirelli,11,16,25s penalty
n,Grand Prix,Team,N°,Driver,Model,Engine,Tyre,Grid,Race
186,Australia,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR11,Ferrari,Pirelli,5,10,
,,,,,,,,,,
187,Bahrain,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR11,Ferrari,Pirelli,10,6,
188,China,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR11,Ferrari,Pirelli,9,8,
189,Russia,Scuderia Toro Rosso,33,VERSTAPPEN Max,STR11,Ferrari,Pirelli,9,ab,Engine
